period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,sample_rh,sample_temp,sample_pres,pm1,pm25,pm10
2024-03-27T00:00:00+02:00,2024-03-28T00:00:00+02:00,2024-03-26T22:00:00+00:00,2024-03-27T22:00:00+00:00,MOD-PM-00523,1440,56.377,23.053,0.0,11.985,13.034,20.36
2024-03-28T00:00:00+02:00,2024-03-29T00:00:00+02:00,2024-03-27T22:00:00+00:00,2024-03-28T22:00:00+00:00,MOD-PM-00523,1440,66.922,20.667,0.0,24.361,25.476,35.585
2024-03-29T00:00:00+02:00,2024-03-30T00:00:00+02:00,2024-03-28T22:00:00+00:00,2024-03-29T22:00:00+00:00,MOD-PM-00523,1440,51.68,23.607,0.0,39.06,39.903,49.266
2024-03-30T00:00:00+02:00,2024-03-31T00:00:00+02:00,2024-03-29T22:00:00+00:00,2024-03-30T22:00:00+00:00,MOD-PM-00523,1440,64.584,21.816,0.0,23.587,24.171,29.742
2024-03-31T00:00:00+02:00,2024-04-01T00:00:00+02:00,2024-03-30T22:00:00+00:00,2024-03-31T22:00:00+00:00,MOD-PM-00523,1440,60.609,21.607,0.0,8.058,8.321,11.23
2024-04-01T00:00:00+02:00,2024-04-02T00:00:00+02:00,2024-03-31T22:00:00+00:00,2024-04-01T22:00:00+00:00,MOD-PM-00523,1430,59.557,21.968,0.0,17.599,17.968,22.745
2024-04-02T00:00:00+02:00,2024-04-03T00:00:00+02:00,2024-04-01T22:00:00+00:00,2024-04-02T22:00:00+00:00,MOD-PM-00523,1440,51.463,23.223,0.0,24.49,25.436,38.536
2024-04-03T00:00:00+02:00,2024-04-04T00:00:00+02:00,2024-04-02T22:00:00+00:00,2024-04-03T22:00:00+00:00,MOD-PM-00523,1440,60.868,21.91,0.0,46.481,47.916,66.983
2024-04-04T00:00:00+02:00,2024-04-05T00:00:00+02:00,2024-04-03T22:00:00+00:00,2024-04-04T22:00:00+00:00,MOD-PM-00523,1440,67.839,21.329,0.0,26.047,26.848,33.204
2024-04-05T00:00:00+02:00,2024-04-06T00:00:00+02:00,2024-04-04T22:00:00+00:00,2024-04-05T22:00:00+00:00,MOD-PM-00523,1438,70.262,21.031,0.0,27.266,28.158,37.297
2024-04-06T00:00:00+02:00,2024-04-07T00:00:00+02:00,2024-04-05T22:00:00+00:00,2024-04-06T22:00:00+00:00,MOD-PM-00523,1440,69.215,21.279,0.0,24.72,25.23,29.736
2024-04-07T00:00:00+02:00,2024-04-08T00:00:00+02:00,2024-04-06T22:00:00+00:00,2024-04-07T22:00:00+00:00,MOD-PM-00523,1440,76.984,18.664,0.0,4.858,4.974,7.01
2024-04-08T00:00:00+02:00,2024-04-09T00:00:00+02:00,2024-04-07T22:00:00+00:00,2024-04-08T22:00:00+00:00,MOD-PM-00523,1395,84.32,16.638,0.0,1.998,2.133,4.363
2024-04-09T00:00:00+02:00,2024-04-10T00:00:00+02:00,2024-04-08T22:00:00+00:00,2024-04-09T22:00:00+00:00,MOD-PM-00523,1200,72.344,17.115,0.0,3.335,3.987,60.887
